target_id,name,country_resident,red,green,blue
1044,orange,gb,214,76,18
921,orange,us,176,107,1
945,olive,us,205,173,17
714,brown,gb,169,107,78
1125,blue,us,62,64,250
546,black,gb,33,28,8
748,tan,us,196,174,94
1021,pink,us,217,113,175
960,light purple,gb,151,171,249
563,brown,gb,89,66,72
828,peach,us,212,125,110
925,blue,us,67,124,192
791,blue,us,37,43,100
544,brown,us,45,21,25
910,purple,us,118,39,110
786,red,us,98,13,37
898,purple,us,55,0,69
874,light green,us,166,217,117
1067,dark red,us,197,0,22
816,blue,gb,82,93,151
1059,pink,us,247,136,222
1064,purple,us,68,3,133
1101,violet,us,174,79,212
981,light teal,us,0,255,235
713,orange,us,171,105,95
736,lavender,us,139,112,154
993,blue,gb,0,98,178
716,brown,us,162,112,62
794,purple,us,72,31,86
994,blue,us,72,90,177
775,yellow,us,219,238,145
888,blue,us,199,194,255
730,teal,us,45,133,155
1072,purple,us,157,45,164
802,brick,us,157,69,70
538,grey,us,122,122,122
945,yellow,us,205,173,17
653,pink,us,178,138,147
829,orange,us,211,126,98
671,white,us,218,194,217
845,,gb,15,168,139
972,yellow,gb,227,239,79
542,white,gb,229,229,229
688,brown,us,117,52,47
696,green,us,59,79,11
672,white,us,225,193,208
538,grey,us,122,122,122
965,pink,gb,227,149,208
921,orange,us,176,107,1
654,salmon,us,235,191,191
680,indigo,gb,41,16,58
788,maroon,us,98,18,18
895,dark blue,us,24,14,84
686,burgundy,us,117,51,60
989,dark red,gb,178,45,74
1081,orange,us,255,97,20
1121,magenta,gb,167,71,244
636,brown,us,182,139,119
593,off white,gb,241,225,228
809,forest green,us,79,106,0
752,sage green,us,149,187,116
1065,red,us,197,0,85
546,black,us,33,28,8
723,green,nz,69,136,95
775,yellow,gb,219,238,145
1015,blue,gb,121,143,233
1119,purple,us,99,0,194
824,plum,gb,152,69,97
1112,purple,us,155,27,193
811,kelly green,gb,34,111,41
943,mustard,us,226,164,51
723,light green,us,69,136,95
965,pink,us,227,149,208
641,,gb,131,157,111
601,green,us,34,54,26
865,peach,us,255,185,122
1015,dusty blue,us,121,143,233
1092,purple,us,91,32,175
992,orange,us,174,56,17
733,blue,gb,97,124,164
687,brown,gb,117,51,53
799,magenta,us,93,18,59
1026,yellow,us,236,200,0
564,gray,us,140,117,114
652,blush,us,172,139,156
895,navy,gb,24,14,84
700,green,gb,0,84,63
707,purple,gb,97,57,100
555,brown,nz,87,68,55
927,lavender,us,124,112,186
621,green,us,79,104,64
794,plum,us,72,31,86
979,aqua,us,53,255,212
682,dark purple,us,48,12,53
822,purple,us,142,73,117
897,purple,gb,50,0,73
1126,bright purple,us,119,43,234
557,dark green,us,64,75,60
769,pink,us,217,159,178
717,green,us,150,118,48
560,navy,us,55,75,85
