target_id,name,country_resident,red,green,blue
1044,orange,GB,214,76,18
921,orange,US,176,107,1
945,olive,US,205,173,17
714,brown,GB,169,107,78
1125,blue,US,62,64,250
546,black,GB,33,28,8
748,tan,US,196,174,94
1021,pink,US,217,113,175
960,light purple,GB,151,171,249
563,brown,GB,89,66,72
828,peach,US,212,125,110
925,blue,US,67,124,192
791,blue,US,37,43,100
544,brown,US,45,21,25
910,purple,US,118,39,110
786,red,US,98,13,37
898,purple,US,55,0,69
874,light green,US,166,217,117
1067,dark red,US,197,0,22
816,blue,GB,82,93,151
1059,pink,US,247,136,222
1064,purple,US,68,3,133
1101,violet,US,174,79,212
981,light teal,US,0,255,235
713,orange,US,171,105,95
736,lavender,US,139,112,154
993,blue,GB,0,98,178
716,brown,US,162,112,62
794,purple,US,72,31,86
994,blue,US,72,90,177
775,yellow,US,219,238,145
888,blue,US,199,194,255
730,teal,US,45,133,155
1072,purple,US,157,45,164
802,brick,US,157,69,70
538,grey,US,122,122,122
945,yellow,US,205,173,17
653,pink,US,178,138,147
829,orange,US,211,126,98
671,white,US,218,194,217
845,,GB,15,168,139
972,yellow,GB,227,239,79
542,white,GB,229,229,229
688,brown,US,117,52,47
696,green,US,59,79,11
672,white,US,225,193,208
538,grey,US,122,122,122
965,pink,GB,227,149,208
921,orange,US,176,107,1
654,salmon,US,235,191,191
680,indigo,GB,41,16,58
788,maroon,US,98,18,18
895,dark blue,US,24,14,84
686,burgundy,US,117,51,60
989,dark red,GB,178,45,74
1081,orange,US,255,97,20
1121,magenta,GB,167,71,244
636,brown,US,182,139,119
593,off white,GB,241,225,228
809,forest green,US,79,106,0
752,sage green,US,149,187,116
1065,red,US,197,0,85
546,black,US,33,28,8
723,green,NZ,69,136,95
775,yellow,GB,219,238,145
1015,blue,GB,121,143,233
1119,purple,US,99,0,194
824,plum,GB,152,69,97
1112,purple,US,155,27,193
811,kelly green,GB,34,111,41
943,mustard,US,226,164,51
723,light green,US,69,136,95
965,pink,US,227,149,208
641,,GB,131,157,111
601,green,US,34,54,26
865,peach,US,255,185,122
1015,dusty blue,US,121,143,233
1092,purple,US,91,32,175
992,orange,US,174,56,17
733,blue,GB,97,124,164
687,brown,GB,117,51,53
799,magenta,US,93,18,59
1026,yellow,US,236,200,0
564,gray,US,140,117,114
652,blush,US,172,139,156
895,navy,GB,24,14,84
700,green,GB,0,84,63
707,purple,GB,97,57,100
555,brown,NZ,87,68,55
927,lavender,US,124,112,186
621,green,US,79,104,64
794,plum,US,72,31,86
979,aqua,US,53,255,212
682,dark purple,US,48,12,53
822,purple,US,142,73,117
897,purple,GB,50,0,73
1126,bright purple,US,119,43,234
557,dark green,US,64,75,60
769,pink,US,217,159,178
717,green,US,150,118,48
