Car,R,G,B
Tesal,130,147,0
Merecdes,15,255,255
Chevroelt,249,244,9
Nissan,11,121,109
Huyndai,128,130,123
BMW,255,5,241
Toyoat,251,0,0
Toyoat,255,0,18
oFrd,0,0,246
oFrd,0,6,255
Chevroelt,255,245,0
eMrcedes,0,255,251
Chevroelt,255,255,13
Nisasn,17,135,138
Tesal,133,129,0
hCevrolet,237,255,0
uAdi,141,13,108
oTyota,255,7,0
Tyoota,255,0,6
Hyundia,134,146,132
Hodna,0,255,0
uAdi,137,10,139
iNssan,0,131,137
Tesal,113,112,17
Hnoda,0,251,16
Mercedse,14,255,255
Adui,138,0,146
Mercdees,0,255,238
Hodna,0,255,15
Mrecedes,0,255,243
Nissna,0,130,122
yHundai,116,122,142
Tesal,143,123,2
Hodna,0,255,0
Chevrloet,255,255,5
Chervolet,255,247,3
Tooyta,255,20,9
Chverolet,255,255,0
Cehvrolet,255,236,0
Cehvrolet,255,242,10
Huyndai,129,136,148
iNssan,16,111,135
Hynudai,111,129,110
oFrd,4,0,255
uAdi,115,0,143
uAdi,110,3,136
oHnda,13,244,11
Tyoota,255,5,3
Cehvrolet,252,255,4
oHnda,18,255,0
Auid,129,12,115
Chevroelt,251,254,1
Mercedse,0,255,235
Tsela,123,113,9
Chevrloet,248,236,0
oFrd,2,11,255
oHnda,5,254,1
Chevroelt,255,255,0
Tesal,113,123,0
Mrecedes,0,255,244
Auid,114,4,138
iNssan,0,129,128
Nisasn,1,140,138
Adui,125,0,118
eTsla,120,118,13
Chervolet,255,255,0
Tooyta,255,0,0
oFrd,0,0,255
Hnoda,0,249,0
iNssan,8,130,117
Frod,0,0,243
Hyunadi,133,132,115
oHnda,9,238,0
Huyndai,109,108,127
Honad,3,251,0
Auid,124,8,108
Auid,134,5,126
Mercedse,16,242,255
Huyndai,142,116,142
Toyoat,238,9,20
Tsela,116,119,8
BMW,252,0,240
Auid,143,4,145
uAdi,144,0,141
oFrd,0,18,255
Honad,16,255,6
Chervolet,253,240,0
oHnda,10,255,0
Auid,126,0,144
oHnda,0,255,7
Adui,136,19,148
oTyota,237,3,0
BMW,255,0,243
Adui,112,0,135
Chevroelt,255,252,0
BMW,255,9,255
Tesal,132,141,0
Hynudai,124,114,120
Chervolet,251,255,0
Toyoat,255,0,0
